,start,end,duration,round_epochs,loss,accuracy,f1score,val_loss,val_accuracy,val_f1score,lr,first_dropout,first_neuron,first_activation,kernel_initializer,second_neuron,second_activation,second_dropout,last_activation,optimizer,losses,batch_size,epochs
538,08/08/23-130824,08/08/23-130831,7.09375786781311,100,0.5756535530090332,0.6834264397621155,0.44485345482826233,0.5983988642692566,0.7445887327194214,0.5603173971176147,0.5,0.2,24,relu,normal,36,relu,0.2,sigmoid,Nadam,binary_crossentropy,200,20
539,08/08/23-130831,08/08/23-130838,6.719705104827881,100,0.593965470790863,0.6871508359909058,0.4253116250038147,0.6082788705825806,0.6883116960525513,0.4374999403953552,0.5,0.2,24,relu,normal,36,relu,0.2,sigmoid,Nadam,binary_crossentropy,400,20
540,08/08/23-130838,08/08/23-130844,6.674875020980835,100,5.260532379150391,0.6573556661605835,0.009009006433188915,5.611255168914795,0.6363636255264282,0.0,0.5,0.2,24,relu,normal,36,relu,0.2,tanh,Adam,binary_crossentropy,200,20
541,08/08/23-130845,08/08/23-130851,6.274032115936279,100,5.2862443923950195,0.6573556661605835,0.0,5.609072208404541,0.6363636255264282,0.0,0.5,0.2,24,relu,normal,36,relu,0.2,tanh,Adam,binary_crossentropy,400,20
542,08/08/23-130851,08/08/23-130858,7.16252064704895,100,5.118282318115234,0.6499068737030029,0.03609535098075867,5.609072685241699,0.6363636255264282,0.0,0.5,0.2,24,relu,normal,36,relu,0.2,tanh,Nadam,binary_crossentropy,200,20
543,08/08/23-130859,08/08/23-130905,6.677285671234131,100,5.285270690917969,0.6573556661605835,0.0,5.609072208404541,0.6363636255264282,0.0,0.5,0.2,24,relu,normal,36,relu,0.2,tanh,Nadam,binary_crossentropy,400,20
544,08/08/23-130905,08/08/23-130912,6.631328582763672,100,0.5492265224456787,0.7523277401924133,0.5569933652877808,0.5736504197120667,0.7229437232017517,0.5491093397140503,0.5,0.2,24,relu,normal,36,relu,0.4,sigmoid,Adam,binary_crossentropy,200,20
545,08/08/23-130912,08/08/23-130918,6.238158226013184,100,0.5789861679077148,0.7001861929893494,0.4651162624359131,0.5931056141853333,0.6926407217979431,0.47407403588294983,0.5,0.2,24,relu,normal,36,relu,0.4,sigmoid,Adam,binary_crossentropy,400,20
546,08/08/23-130919,08/08/23-130926,7.064152002334595,100,0.6501547694206238,0.6834264397621155,0.4328339993953705,0.6469512581825256,0.6753246784210205,0.3592032790184021,0.5,0.2,24,relu,normal,36,relu,0.4,sigmoid,Nadam,binary_crossentropy,200,20
547,08/08/23-130926,08/08/23-130933,6.63934850692749,100,0.6550875306129456,0.6964617967605591,0.4275881052017212,0.6297613382339478,0.6883116960525513,0.4098360240459442,0.5,0.2,24,relu,normal,36,relu,0.4,sigmoid,Nadam,binary_crossentropy,400,20
